latitude,longitude,address,name,details,borough,type
40.8316003315092,-73.9252437326348,,Mullaly Park,Out in Open,X,
40.83157158567185,-73.90185665253958,,Beatty Plaza,"Under Tree, In Shade",X,
40.83154596193935,-73.92453521384306,,Mullaly Park,"Out in Open, In Playground",X,
40.831480820351935,-73.92515459577858,,Mullaly Park,"Under Tree, Just Outside Playground",X,
40.831298470249536,-73.91486326296814,,Mott Playground,"Under Tree, In Shade, In Playground",X,
40.83099175393319,-73.9068621116622,,Rev Lena Irons Unity Park,Out in Open,X,
40.830646256730176,-73.93127964781684,,Macombs Dam Park,"Under Tree, In Shade, Just Outside Playground",X,
40.83026909963716,-73.92912214663403,,Macombs Dam Park,"Under Tree, In Shade",X,
40.82993337500291,-73.84796365350252,,Havemeyer Playground,"Under Tree, In Playground",X,
40.82984029925356,-73.9523815919824,,Recreational Area,"In Playground, Under Tree",M,
40.82955947669011,-73.92166085784345,,Joyce Kilmer Park,"Out in Open, Just Outside Playground",X,
40.82943106855519,-73.95235356163084,,Recreational Area,Near Ballfield,M,
40.82937454395533,-73.93625399249159,,Holcombe Rucker Park,"Under Tree, In Playground, Near Ballfield",M,
40.829158489361134,-73.94432434551426,,Carmansville Park,"In Playground, Near Ballfield",M,
40.82907508615977,-73.86899521222314,,Watson Gleason Playground,"In Playground, Under Tree",X,
40.82906849992781,-73.9064675681541,,Estella Diggs Park,"Out in Open, Just Outside Playground",X,
40.82900639375079,-73.936438552294,,Holcombe Rucker Park,"Under Tree, In Playground, Near Ballfield",M,
40.82899114017403,-73.93599229195567,,Holcombe Rucker Park,"Near Ballfield, Just Outside Playground",M,
40.828922831793385,-73.90537319622955,,Hines Park,"Out in Open, Just Outside Playground",X,
40.82885437255689,-73.90587278877067,,Estella Diggs Park,Out in Open,X,
40.82872178154586,-73.92859660976694,,Macombs Dam Park,Out in Open,X,
40.82872162135801,-73.93575637351492,,Holcombe Rucker Park,"Under Tree, Near Ballfield, Just Outside Playground",M,
40.82846339770439,-73.92302252095196,,Joyce Kilmer Park,"Under Tree, In Shade",X,
40.82842701935805,-73.95292826093136,,Recreational Area,Near Ballfield,M,
40.82829237037725,-73.92788015100625,,Macombs Dam Park,Out in Open,X,
40.82824022677712,-73.92964775718107,,Macombs Dam Park,In Shade,X,
40.828195936286015,-73.86899506887917,,Watson Gleason Playground,"Near Ballfield, In Playground",X,
40.82801816620769,-73.87400183696442,,Bronx River Parkway,"Under Tree, Near Ballfield",X,
40.82788708016505,-73.93980887290986,,Jackie Robinson Park,"In Playground, Under Tree",M,
40.82780391649674,-73.86878074882196,,Watson Gleason Playground,"Under Tree, Near Ballfield, In Playground",X,
40.827670688767036,-73.92693691007263,,Macombs Dam Park,"Out in Open, Near Ballfield",X,
40.82760138690749,-73.87389306702221,,Bronx River Parkway,Near Ballfield,X,
40.827590510983875,-73.92824425371995,,Macombs Dam Park,"Out in Open, Near Ballfield, Just Outside Playground",X,
40.82756364710671,-73.94004501307276,,Jackie Robinson Park,"Near Ballfield, In Playground",M,
40.82735827816278,-73.9147264342499,,Arcilla Playground,"Under Tree, In Shade, In Playground",X,
40.82733337962374,-73.89661802864957,,Rev J Polite Playground,Near Ballfield,X,
40.82722668782398,-73.91447834328449,,Arcilla Playground,Out in Open,X,
40.827188668778426,-73.9303285585562,,Macombs Dam Park,Out in Open,X,
40.8270554067748,-73.87364841752691,,Bronx River Parkway,"In Playground, Near Ballfield",X,
40.82687990430339,-73.82878620000497,,Bruckner Playground,"Out in Open, In Playground",X,
40.82676731746211,-73.89772825958961,,Rev J Polite Playground,In Playground,X,
