,geometry,name,details,borough
963,POINT (-73.89862508699237 40.85743476571745),Slattery Playground,Out in Open,X
964,POINT (-73.9073776407136 40.85598567812933),Grand Playground,"Out in Open, In Playground",X
965,POINT (-73.74872233817578 40.741924876219834),Alley Pond Park,Near Ballfield,Q
966,POINT (-73.74016081748617 40.7415491572758),Alley Pond Park,Out in Open,Q
967,POINT (-73.83954454473145 40.885913443851),Stars & Stripes Playground,"Under Tree, In Shade",X
968,POINT (-73.9442691329235 40.682076267515086),Potomac Playground,In Playground,B
969,POINT (-74.15486448963243 40.60560056626243),Willowbrook Park,Near Ballfield,R
970,POINT (-73.897527095336 40.84076740344876),Crotona Park,"Out in Open, In Playground",X
971,POINT (-73.97459780401589 40.662215674813545),Prospect Park,"Out in Open, Near Ballfield",B
972,POINT (-73.83958836865396 40.690241995906945),Maurice A Fitzgerald Playground,In Playground,Q
973,POINT (-73.99617807724967 40.578453695074835),Kaiser Park,"Out in Open, In Playground",B
974,POINT (-73.97573999810126 40.57349471661161),Coney Island Beach & Boardwalk,Out in Open,B
975,POINT (-73.8504376937399 40.66470180804268),Harold Schneiderman Playground,Just Outside Playground,Q
976,POINT (-73.97185761196731 40.80177439426634),Riverside Park,"Under Tree, Out in Open",M
977,POINT (-73.93216995215553 40.80441402108512),Crack Is Wack Playground,"Under Tree, Near Ballfield",M
978,POINT (-74.00586556968652 40.68270014573285),Harold Ickes Playground,In Playground,B
979,POINT (-73.96738302987104 40.67162886258749),Mount Prospect Park,Out in Open,B
980,POINT (-73.87104876090609 40.76610828840924),East Elmhurst Playground,Near Ballfield,Q
981,POINT (-73.78967419479636 40.58847924944048),Rockaway Beach and Boardwalk,Out in Open,Q
982,POINT (-74.02024421388293 40.60651036980262),Dyker Beach Park,Near Ballfield,B
983,POINT (-73.9846498598929 40.68007126294693),Thomas Greene Playground,Just Outside Playground,B
984,POINT (-73.89065753262187 40.65144567729125),Breukelen Ballfields,"Out in Open, Near Ballfield, Under Tree",B
985,POINT (-73.985466616316 40.672271633247604),Washington Park,In Playground,B
986,POINT (-73.78393885220133 40.84429732793301),Ambrosini Field,Under Tree,X
987,POINT (-73.95292826093136 40.82842701935805),Recreational Area,Near Ballfield,M
988,POINT (-73.92116422371254 40.793955305129515),Randall's Island Park,Near Ballfield,M
989,POINT (-73.9838498951259 40.77722615062319),Matthew P. Sapolin Playground,"Near Ballfield, In Playground",M
990,POINT (-73.97058172393183 40.769456348143024),Central Park,Out in Open,M
991,POINT (-73.97800876046308 40.76986450132491),Central Park,Near Ballfield,M
992,POINT (-73.92045504729215 40.6804355166023),Carver Playground,"In Playground, Under Tree",B
993,POINT (-73.88507160541033 40.684628079595676),Highland Park,Near Ballfield,B
994,POINT (-73.88138169461516 40.82358614797331),Colgate Close,"In Playground, Under Tree",X
995,POINT (-73.84140993709312 40.74806488168771),Flushing Meadows Corona Park,Under Tree,Q
996,POINT (-74.11790868096251 40.62866113361281),Prall Playground,Near Ballfield,R
997,POINT (-73.94301797781716 40.775721340790014),Carl Schurz Park,Under Tree,M
998,POINT (-73.98397289567228 40.711958714371406),Lillian D Wald Playground,"Near Ballfield, In Playground",M
999,POINT (-73.89814583135916 40.8181259994677),Rainey Park,Under Tree,X
1000,POINT (-73.912351061468 40.67415188777961),Ocean Hill Playground,Near Ballfield,B
1001,POINT (-73.92328525551729 40.81090406567985),Willis Playground,"Out in Open, Near Ballfield",X
1002,POINT (-73.78598136514489 40.69649198288553),Latimer Playground,"Under Tree, In Playground",Q
1003,POINT (-74.09036734052253 40.5691434916531),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
1004,POINT (-74.03622126815483 40.62641691896803),Russell Pedersen Playground,In Playground,B
1005,POINT (-73.84565644191818 40.73715595289341),Grand Central Parkway Extension,"Out in Open, Just Outside Playground",Q
1006,POINT (-73.73699508435465 40.739314571233834),Alley Athletic Playground,Near Ballfield,Q
1007,POINT (-73.97992965730664 40.728350521792365),Joseph C. Sauer Park,"Under Tree, In Shade, In Playground",M
1008,POINT (-73.92021295721322 40.8810071170819),Henry Hudson Park,"Out in Open, In Shade",X
1009,POINT (-73.90487154211812 40.67129566595445),Powell Playground,"Under Tree, In Shade, Out in Open",B
1010,POINT (-73.8531449263769 40.70140351954624),Forest Park,In Shade,Q
1011,POINT (-74.0194989415493 40.645804775298096),Martin Luther Playground,In Playground,B
1012,POINT (-73.9177679700062 40.70981656910728),Starr Playground,Near Ballfield,Q
1013,POINT (-73.83987319796299 40.744550602544194),Flushing Meadows Corona Park,Under Tree,Q
1014,POINT (-74.09898541028613 40.576707167352154),Midland Field,Near Ballfield,R
1015,POINT (-73.98377307062526 40.6237254938519),Gravesend Park,"In Playground, Out in Open",B
1016,POINT (-73.92636638548342 40.78153702145111),Wards Island Park,Out in Open,M
1017,POINT (-73.937946101625 40.85315471840635),Bennett Park,In Playground,M
1018,POINT (-73.80879690388855 40.5854367354841),Rockaway Beach Boardwalk,In Playground,Q
1019,POINT (-73.83963367458463 40.873825010014166),Haffen Park,"Under Tree, In Shade",X
1020,POINT (-73.96980177053804 40.58733059695681),West Playground,"Out in Open, Near Ballfield",B
1021,POINT (-73.9765182862199 40.65042648498276),Greenwood Playground,In Playground,B
1022,POINT (-73.98121393939279 40.572907057576856),Coney Island Beach & Boardwalk,Out in Open,B
1023,POINT (-73.83635227073438 40.747218069787124),Flushing Meadows Corona Park,Under Tree,Q
1024,POINT (-74.06308063646131 40.615706753032214),Alice Austen Park,Out in Open,R
1025,POINT (-74.01299984380599 40.6127267668064),Dyker Beach Park,In Playground,B
1026,POINT (-74.11853163203996 40.63895862497266),CPL. Thompson Park,Near Ballfield,R
1027,POINT (-73.84470512856765 40.78147982416752),Poppenhusen Playground,In Playground,Q
1028,POINT (-73.9118017746641 40.83778159593797),Grant Park,"Under Tree, In Shade",X
1029,POINT (-73.97765508822089 40.76843172865205),Central Park,"Out in Open, In Playground",M
1030,POINT (-73.80928066322126 40.58489425775135),Rockaway Beach Boardwalk,Out in Open,Q
1031,POINT (-73.89095839424118 40.70639335790301),Mafera Park,In Playground,Q
1032,POINT (-73.89616853883709 40.83513635111762),Crotona Park,Just Outside Playground,X
1033,POINT (-74.0012224848003 40.63705175592267),Rappaport Playground,"Out in Open, In Playground",B
1034,POINT (-74.0017241553743 40.71602106519706),Collect Pond Park,Out in Open,M
1035,POINT (-73.85332860153814 40.70162174007321),Forest Park,"Near Ballfield, Just Outside Playground",Q
1036,POINT (-73.91140937647091 40.76065784256724),Astoria Heights Playground,Just Outside Playground,Q
1037,POINT (-74.00241135763895 40.67120224825643),Red Hook Recreation Area,Out in Open,B
1038,POINT (-73.96185231749905 40.706468664696345),Roebling Playground,"Under Tree, In Shade",B
1039,POINT (-73.97294548681245 40.68064958766115),Dean Playground,Out in Open,B
1040,POINT (-73.99179347378734 40.57151957267867),Coney Island Beach & Boardwalk,Out in Open,B
1041,POINT (-74.14577996568651 40.624149981474794),Markham Playground,Out in Open,R
1042,POINT (-74.0156182786659 40.709314250239295),Battery Park City Parks,"In Shade, Near Ballfield, Just Outside Playground",M
1043,POINT (-73.82558017125479 40.79626529261887),Francis Lewis Park,Under Tree,Q
1044,POINT (-73.98170277366829 40.71403545942061),Henry M. Jackson Playground,"In Playground, Near Ballfield",M
1045,POINT (-74.00378524205844 40.67336960181733),Red Hook Recreation Area,Out in Open,B
1046,POINT (-73.825113494178 40.58485323143262),Bayside Playground,Just Outside Playground,Q
1047,POINT (-73.77327590647226 40.72921609308595),Cunningham Park,"Near Ballfield, Out in Open",Q
1048,POINT (-73.97377419138117 40.66801988916745),Prospect Park,"Under Tree, In Shade, Out in Open",B
1049,POINT (-73.96807416671818 40.66854191109001),Prospect Park,"In Shade, Under Tree",B
1050,POINT (-73.83927629197976 40.87346976772366),Haffen Park,"Just Outside Playground, In Shade",X
1051,POINT (-73.94138451742538 40.84687685011491),J. Hood Wright Park,Out in Open,M
1052,POINT (-73.85475746204509 40.90178955671083),Wakefield Playground,"In Shade, In Playground",X
1053,POINT (-73.86042824013809 40.696595907976096),Forest Park,In Shade,Q
1054,POINT (-73.86878074882196 40.82780391649674),Watson Gleason Playground,"Under Tree, Near Ballfield, In Playground",X
1055,POINT (-73.84205658971098 40.74031574562547),Flushing Meadows Corona Park,"Out in Open, Under Tree",Q
1056,POINT (-73.92930997199106 40.86492338545586),Fort Tryon Park,In Playground,M
1057,POINT (-73.95058194141633 40.7852037723653),Samuel Seabury Playground,Near Ballfield,M
1058,POINT (-73.94267931929032 40.803413905482),Marcus Garvey Park,"Under Tree, Just Outside Playground, Near Ballfield",M
1059,POINT (-73.94465013714543 40.65895351929648),Wingate Park,"Under Tree, In Shade",B
1060,POINT (-73.83718267826563 40.73351418691123),Flushing Meadows Corona Park,Out in Open,Q
1061,POINT (-74.08867621049912 40.57001052328563),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
1062,POINT (-73.90153151263341 40.815274201065286),Playground 52 LII,In Playground,X
1063,POINT (-73.9907861853952 40.735564468274866),Union Square Park,Out in Open,M
1064,POINT (-73.74036945806093 40.697978915339306),East Springfield Playground,Near Ballfield,Q
1065,POINT (-73.82477244057281 40.851828669860204),Pelham Bay Park,Out in Open,X
1066,POINT (-73.96398420401466 40.71546454022123),William Sheridan Playground,"Under Tree, In Playground, In Shade",B
1067,POINT (-73.8505876941653 40.82352048650035),P.O. Serrano Playground,"In Playground, In Shade",X
1068,POINT (-73.77342565328388 40.72979431004812),Cunningham Park,Out in Open,Q
1069,POINT (-73.90603416696848 40.82302876135205),Dunbar Playground,"Out in Open, Near Ballfield",X
1070,POINT (-73.9822757014508 40.735504445499195),Augustus St. Gaudens Playground,In Playground,M
1071,POINT (-73.90001393896193 40.620391062450175),McGuire Fields,"Out in Open, Near Ballfield",B
1072,POINT (-73.94885832770343 40.815938431326266),St. Nicholas Park,"Near Ballfield, Just Outside Playground",M
1073,POINT (-73.94133759303922 40.69339478510108),Pulaski Playground,"In Playground, Near Ballfield",B
1074,POINT (-73.8971797642765 40.74869013303024),Hart Playground,Out in Open,Q
1075,POINT (-73.83104981235994 40.83799059971903),Bufano Park,"In Playground, Out in Open",X
1076,POINT (-73.76466380560088 40.6082743847252),Westbourne Playground,In Playground,Q
1077,POINT (-73.7695484645158 40.734615746510556),Cunningham Park,"Out in Open, Near Ballfield",Q
1078,POINT (-74.08611255351195 40.64342022496791),Mahoney Playground,Near Ballfield,R
1079,POINT (-73.82173858918945 40.69428086976425),"Phil ""Scooter"" Rizzuto Park",In Playground,Q
1080,POINT (-74.00061989504239 40.755420670375706),Hudson Park,Out in Open,M
1081,POINT (-73.88752204842783 40.85055906213384),Belmont Playground,,X
1082,POINT (-74.00380691613242 40.67374754816737),Red Hook Recreation Area,In Playground,B
1083,POINT (-73.95382103751582 40.72058892805114),McCarren Park,"Near Ballfield, Out in Open",B
1084,POINT (-73.7927104203315 40.86803670045672),Pelham Bay Park,Out in Open,X
1085,POINT (-73.92756791613293 40.66641504288744),Lincoln Terrace / Arthur S. Somers Park,In Playground,B
1086,POINT (-73.78016825167533 40.595482041641425),Conch Playground,Just Outside Playground,Q
1087,POINT (-73.7618559419941 40.59264588860953),Beach 30th Street Playground,In Playground,Q
1088,POINT (-73.89100256038964 40.824018392986915),Printers Park,In Playground,X
1089,POINT (-73.89494544291341 40.67865385066922),George Walker Jr. Park,In Playground,B
1090,POINT (-73.96792571024771 40.65024347047511),Parade Ground,"Out in Open, Near Ballfield",B
1091,POINT (-73.98417914610498 40.593845146043904),Scarangella Park,"In Playground, Out in Open",B
1092,POINT (-73.82691338568743 40.72291470109342),Flushing Meadows Corona Park,In Playground,Q
1093,POINT (-74.11942865033983 40.608731805891566),Christopher J. Igneri Playground,In Shade,R
1094,POINT (-74.04057885719833 40.6218326623923),Shore Park and Parkway,Under Tree,B
1095,POINT (-73.91982131617135 40.86917688488041),Isham Park,Out in Open,M
1096,POINT (-73.97704623108176 40.719462956116274),Wald Playground,"In Playground, Near Ballfield, Under Tree",M
1097,POINT (-73.99457717633796 40.71037539948269),Tanahey Playground,"Under Tree, Near Ballfield",M
1098,POINT (-73.93653937731688 40.81925424016907),Col. Young Playground,"Under Tree, In Shade, In Playground, Near Ballfield",M
1099,POINT (-74.18709433219445 40.58970481445976),Schmul Park,Just Outside Playground,R
1100,POINT (-73.91730246202641 40.84371468520472),Goble Playground,"Out in Open, In Playground",X
1101,POINT (-73.83664979325195 40.750381690171075),Flushing Meadows Corona Park,Out in Open,Q
1102,POINT (-73.9009038405064 40.880784905159345),Bailey Playground,"Under Tree, In Shade",X
1103,POINT (-73.90135463630088 40.62041619978294),McGuire Fields,"Out in Open, Near Ballfield",B
1104,POINT (-73.97295856464574 40.66704718206747),Prospect Park,In Playground,B
1105,POINT (-73.99298436609189 40.76124089063608),Mathews-Palmer Playground,"In Shade, Under Tree, In Playground",M
1106,POINT (-73.87116570542081 40.67011439024752),Cypress Hills Playground,"Near Ballfield, Out in Open",B
1107,POINT (-73.95608530945522 40.57540242355465),Coney Island Beach & Boardwalk,Out in Open,B
1108,POINT (-73.79611141219668 40.7344379076574),Fresh Meadows Playground,In Playground,Q
1109,POINT (-73.97174516359375 40.689186846689964),Edmonds Playground,In Playground,B
1110,POINT (-73.91567357898975 40.84863420588926),Galileo Playground,"Under Tree, In Playground",X
1111,POINT (-73.96783983496881 40.77236306223453),Central Park,Just Outside Playground,M
1112,POINT (-73.99843493235078 40.73118249016759),Washington Square Park,"Under Tree, Just Outside Playground",M
1113,POINT (-73.84961008002799 40.741964008759055),Flushing Meadows Corona Park,"Just Outside Playground, Under Tree",Q
1114,POINT (-73.78353959863855 40.70199408132973),Detective Keith L Williams Park,Just Outside Playground,Q
1115,POINT (-73.84629977314462 40.72202320361116),MacDonald Park,Out in Open,Q
1116,POINT (-74.00548690286898 40.73634319421065),Bleecker Playground,"In Shade, In Playground",M
1117,POINT (-73.93234539254998 40.70182241978246),Green Central Knoll,"Out in Open, Near Ballfield",B
1118,POINT (-73.96090657381048 40.72181212438336),Bushwick Inlet Park,"Near Ballfield, Out in Open",B
1119,POINT (-74.0792473779832 40.62326060289697),Stapleton Playground,Near Ballfield,R
1120,POINT (-73.94941815069747 40.7027126044566),De Hostos Playground,"Out in Open, In Playground",B
1121,POINT (-73.90783995910634 40.671709767326085),Howard Playground,"Under Tree, In Playground",B
1122,POINT (-73.98254133510346 40.69764764335736),Golconda Playground,"In Shade, Out in Open",B
1123,POINT (-73.81399620145342 40.73610902223823),Pomonok Playground,In Playground,Q
1124,POINT (-73.96229734959523 40.81489100188371),Riverside Park,In Playground,M
1125,POINT (-73.93545261942468 40.797416154774766),P.S. 155 Playground,"Under Tree, Near Ballfield, In Playground",M
1126,POINT (-73.72743864201317 40.684351739737274),Laurelton Parkway,Near Ballfield,Q
1127,POINT (-73.92045244963452 40.6754744006166),South Pacific Playground,In Playground,B
1128,POINT (-73.93390177492485 40.67369139141933),St. John's Recreation Center,Out in Open,B
1129,POINT (-73.77722014178701 40.73597370397585),Farm Playground,In Playground,Q
1130,POINT (-73.83947609626331 40.670101745182095),Centreville Playground,In Playground,Q
1131,POINT (-73.96419102431756 40.8115452602462),Riverside Park,Out in Open,M
1132,POINT (-73.85267340668626 40.849284619788286),Loreto Playground,Under Tree,X
1133,POINT (-74.03353254155222 40.640489114859015),Owl's Head Park,Under Tree,B
1134,POINT (-73.9720333371546 40.80349195485592),Riverside Park,"Under Tree, Near Ballfield",M
1135,POINT (-74.01688316940334 40.71354568611738),Battery Park City,Under Tree,M
1136,POINT (-73.92127412691778 40.81392246784709),Clark Playground,"Out in Open, In Playground",X
1137,POINT (-73.75824593749856 40.74628860607835),Tall Oak Playground,In Playground,Q
1138,POINT (-73.93872427398537 40.809472224756846),Moore Playground,"Near Ballfield, Just Outside Playground",M
