,geometry,name,details,borough
2798,POINT (-73.91192206024367 40.760083674722985),Astoria Heights Playground,Out in Open,Q
2799,POINT (-73.91846159660729 40.69499030392177),Heckscher Playground,"Out in Open, In Playground",B
2800,POINT (-73.91319470734759 40.62052617330806),Hickman Playground,"Out in Open, Near Ballfield",B
2801,POINT (-73.80059579864046 40.71546908964503),Joseph Austin Playground,In Playground,Q
2802,POINT (-73.82090877731538 40.69513370602343),"Phil ""Scooter"" Rizzuto Park",Near Ballfield,Q
2803,POINT (-73.91928665246915 40.86982003756753),Isham Park,Under Tree,M
2804,POINT (-73.80323125388342 40.68017797280206),Dr. Charles R. Drew Park,Near Ballfield,Q
2805,POINT (-73.88725954835934 40.84991934553926),Belmont Playground,,X
2806,POINT (-73.90745244195286 40.822831381336925),Hilton White Playground,Just Outside Playground,X
2807,POINT (-73.81681004807693 40.776088874724174),Flushing Fields,"Under Tree, Near Ballfield",Q
2808,POINT (-73.95039738246079 40.814008696285335),St. Nicholas Park,Near Ballfield,M
2809,POINT (-73.9902185586278 40.67503175022584),Whole Foods PAA,Out in Open,B
2810,POINT (-73.9378855623522 40.701118268948626),Garden Playground,"Just Outside Playground, Near Ballfield, Out in Open",B
2811,POINT (-73.91954222035753 40.68470044592299),Saratoga Park,"Under Tree, In Playground",B
2812,POINT (-73.8761206936304 40.869926808499436),Bronx Park,In Playground,X
2813,POINT (-73.81974174602118 40.60115496242481),Broad Channel Park,Just Outside Playground,Q
2814,POINT (-74.07663255666581 40.626797831014805),Tappen Park,Out in Open,R
2815,POINT (-73.948887442441 40.66342408631358),Marc And Jason's Playground,"Near Ballfield, Out in Open",B
2816,POINT (-73.92641148704458 40.83893936525351),Merriam Playground,"Under Tree, In Shade, In Playground",X
2817,POINT (-73.77471239829354 40.70615857367465),Peters Field,Under Tree,Q
2818,POINT (-74.06749172202318 40.58908966003019),Franklin D. Roosevelt Boardwalk and Beach,In Playground,R
2819,POINT (-73.97508957812721 40.79622982340912),Riverside Park,Under Tree,M
2820,POINT (-73.886705797808 40.85593523572355),Ciccarone Park,"Out in Open, In Playground",X
2821,POINT (-73.82595781487026 40.75599812988324),Maple Playground,In Playground,Q
2822,POINT (-73.90016986835552 40.62036611215115),McGuire Fields,"Near Ballfield, Out in Open",B
2823,POINT (-73.93514491493612 40.79369497449557),Thomas Jefferson Park,"In Playground, Near Ballfield",M
2824,POINT (-73.96726043666096 40.78474007435721),Central Park,"In Shade, Under Tree",M
2825,POINT (-74.06871620773042 40.61476704511767),Kaltenmeier Playground,Under Tree,R
2826,POINT (-73.82448671033879 40.66554184460495),Southern Fields,Near Ballfield,Q
2827,POINT (-74.09997898584686 40.58623230309635),Gen. Douglas MacArthur Park,Near Ballfield,R
2828,POINT (-74.0169266141222 40.60637326512923),Dyker Beach Park,Just Outside Playground,B
2829,POINT (-74.01433264316258 40.71622289437651),Battery Park City,"In Shade, Near Ballfield",M
2830,POINT (-73.89356111477916 40.62836273335335),Canarsie Park,"Near Ballfield, Out in Open",B
2831,POINT (-73.97699492172217 40.71730491251011),Baruch Playground,"Under Tree, Near Ballfield, Just Outside Playground",M
2832,POINT (-73.8862804566405 40.659290957591864),Linden Park,Under Tree,B
2833,POINT (-73.94996725420242 40.72158485208941),McCarren Park,"Under Tree, In Shade, In Playground",B
2834,POINT (-73.74452831867433 40.59564799243782),Beach 9 Playground,In Playground,Q
2835,POINT (-73.8989384642872 40.844861100319164),Stop & Go Playground,"Under Tree, In Playground",X
2836,POINT (-73.92138981036987 40.87048726138409),Inwood Hill Park,Under Tree,M
2837,POINT (-73.75626863386076 40.67574174200723),Montbellier Park,"Out in Open, Near Ballfield",Q
2838,POINT (-73.96547704079563 40.77560408976607),Central Park,"Under Tree, In Shade",M
2839,POINT (-73.8652998773518 40.67395120764855),Robert E. Venable Park,In Playground,B
2840,POINT (-73.93451437641289 40.67438335905421),St. John's Recreation Center,Under Tree,B
2841,POINT (-73.97654990041947 40.65049132959399),Greenwood Playground,In Playground,B
2842,POINT (-73.80354463365163 40.704213438265384),Rufus King Park,"Under Tree, Just Outside Playground",Q
2843,POINT (-73.93989349624046 40.8102536332289),Courtney Callender Playground,"In Playground, Near Ballfield",M
2844,POINT (-73.95893688489377 40.79728187330263),Central Park,"Out in Open, Under Tree",M
2845,POINT (-73.9028125535316 40.739069299243816),Big Bush Park,Near Ballfield,Q
2846,POINT (-73.85206099221641 40.84897941173487),Loreto Playground,In Playground,X
2847,POINT (-74.07829442172188 40.57812245780035),Franklin D. Roosevelt Boardwalk and Beach,Out in Open,R
2848,POINT (-73.94810914732105 40.75723257350776),Queensbridge Park,Out in Open,Q
2849,POINT (-73.7927091413516 40.730524595962336),Utopia Playground,Just Outside Playground,Q
2850,POINT (-73.91924559363852 40.84676632822539),Half-Nelson Playground,Under Tree,X
2851,POINT (-73.90684472089089 40.841462857992454),Claremont Park,Out in Open,X
2852,POINT (-73.9493962169451 40.79242485897413),Mae Grant Playground,"Under Tree, Near Ballfield, In Playground",M
2853,POINT (-73.99077118732947 40.69863899175318),Cadman Plaza Park,Out in Open,B
2854,POINT (-73.92256564006072 40.680142187263655),Brevoort Playground,In Playground,B
2855,POINT (-73.79414571472942 40.866412218777185),Pelham Bay Park,Out in Open,X
2856,POINT (-73.82698030297398 40.770125013758246),Colden Playground,"In Playground, Out in Open",Q
2857,POINT (-73.7493951551994 40.61112227161805),Redfern Playground,Near Ballfield,Q
2858,POINT (-73.79721861517821 40.758381727100286),Plaut Triangle,Out in Open,Q
2859,POINT (-73.89485368656665 40.897130216680914),Van Cortlandt Park,Out in Open,X
2860,POINT (-73.99429069644073 40.58689489147462),Calvert Vaux Park,"Out in Open, Near Ballfield",B
2861,POINT (-73.97118853289905 40.78222161998752),Central Park,In Playground,M
2862,POINT (-74.01535788331199 40.612010417519166),Dyker Beach Park,Near Ballfield,B
2863,POINT (-73.94635159657616 40.57596317497387),Manhattan Beach Park,Out in Open,B
2864,POINT (-73.95475888839107 40.65650773210705),Parkside Playground,Just Outside Playground,B
2865,POINT (-73.85266966202009 40.70071839874735),Forest Park,Out in Open,Q
